Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A0S1RQW4	unreviewed	Albumin 1	43366	Clitoria ternatea	78	IPR005535	29..57
A0A0S1RRJ2	unreviewed	Albumin 1	43366	Clitoria ternatea	78	IPR005535	28..56
A0A0S1RRK7	unreviewed	Albumin 1	43366	Clitoria ternatea	77	IPR005535	16..46
A0A0S1RRY1	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	110	IPR005535	7..36
A0A0S1RRZ5	unreviewed	Albumin 1	43366	Clitoria ternatea	75	IPR005535	29..58
A0A0S1RRZ9	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	131	IPR005535	26..56
A0A0S1RS10	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	131	IPR005535	26..56
A0A0S1RS14	unreviewed	Albumin 1	43366	Clitoria ternatea	79	IPR005535	29..59
A0A0S1RS29	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	124	IPR005535	29..59
A0A0S1RSG8	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	80	IPR005535	17..47
A0A0S1RSI4	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	100	IPR005535	29..57
A0A0S1RSJ8	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	119	IPR005535	15..45
A0A0S1RSV1	unreviewed	Albumin 1	43366	Clitoria ternatea	74	IPR005535	27..53
A0A0S1RSZ6	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	123	IPR005535	29..58
A0A0S1RU96	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	123	IPR005535	29..58
A0A0S1RUB2	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	133	IPR005535	29..58
A0A0S1RUC8	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	105	IPR005535	27..56
A0A126TQ85	unreviewed	Cliotide T13	43366	Clitoria ternatea	61	IPR005535	26..55
A0A126TQ98	unreviewed	Cliotide T26	43366	Clitoria ternatea	44	IPR005535	10..39
A0A126TQA4	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	103	IPR005535	29..59
A0A126TQH9	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	123	IPR005535	26..56
A0A126TQI7	unreviewed	Cliotide T32	43366	Clitoria ternatea	68	IPR005535	16..44
A0A126TQJ6	unreviewed	Cliotide T42	43366	Clitoria ternatea	68	IPR005535	28..54
A0A126TQJ8	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	131	IPR005535	29..57
A0A126TQK6	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	106	IPR005535	29..59
A0A126TQK7	unreviewed	Cliotide T52	43366	Clitoria ternatea	47	IPR005535	30..47
A0A126TQL5	unreviewed	Cliotide T37	43366	Clitoria ternatea	72	IPR005535	28..54
A0A126TQN2	unreviewed	Cliotide T47	43366	Clitoria ternatea	48	IPR005535	1..29
A0A126TQT8	unreviewed	Cliotide T24	43366	Clitoria ternatea	54	IPR005535	14..42
A0A126TQU4	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	80	IPR005535	17..47
A0A126TQV2	unreviewed	Cliotide T44	43366	Clitoria ternatea	75	IPR005535	27..55
A0A126TRE7	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	112	IPR005535	29..58
A0A126TRF4	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	100	IPR005535	27..56
A0A126TRG2	unreviewed	Cliotide T40	43366	Clitoria ternatea	58	IPR005535	26..56
A0A126TRH8	unreviewed	Cliotide T23	43366	Clitoria ternatea	61	IPR005535	7..37
A0A126TRJ4	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	88	IPR005535	12..40
A0A126TRJ9	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	125	IPR005535	28..58
A0A126TRK9	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	127	IPR005535	30..58
A0A126TRL0	unreviewed	Cliotide T31	43366	Clitoria ternatea	65	IPR005535	27..56
A0A126TRL7	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	97	IPR005535	29..58
A0A126TRL9	unreviewed	Cyclotide	43366	Clitoria ternatea	70	IPR005535	28..57
A0A126TRM4	unreviewed	Cliotide T48	43366	Clitoria ternatea	35	IPR005535	1..26
A0A126TRM8	unreviewed	Cliotide T51	43366	Clitoria ternatea	37	IPR005535	14..37
A0A126TRW4	unreviewed	Cliotide T18	43366	Clitoria ternatea	52	IPR005535	5..33
A0A126TRX4	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	121	IPR005535	27..56
A0A126TRY0	unreviewed	Cliotide T39	43366	Clitoria ternatea	88	IPR005535	24..54
A0A126TRY8	unreviewed	Cliotide T49	43366	Clitoria ternatea	39	IPR005535	14..39
A0A126TS67	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	130	IPR005535	29..57
A0A126TS76	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	84	IPR005535	1..30
A0A126TS81	unreviewed	Cliotide T45	43366	Clitoria ternatea	76	IPR005535	29..57
A0A1B3TN87	unreviewed	Parigidin-br2	96266	Palicourea rigida	82	IPR005535	46..75
A0A1B3TNB3	unreviewed	Hyla-br1	1895898	Pombalia lanata	109	IPR005535	75..105
A0A1D6MXH4	unreviewed	Uncharacterized protein	4577	Zea mays	84	IPR005535	51..84
A0A1E5UQA3	unreviewed	Uncharacterized protein	888268	Dichanthelium oligosanthes	69	IPR005535	41..63
A0A1E5UXR7	unreviewed	Uncharacterized protein	888268	Dichanthelium oligosanthes	67	IPR005535	39..61
A0A4U6VVE5	unreviewed	Cyclotide	4556	Setaria viridis	82	IPR005535	53..82
A0A4V8GZR4	unreviewed	Rivi3	1343662	Rinorea virgata	29	IPR005535	1..29
A0A7G5F389	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	122	IPR005535	26..56
A0A7G5F390	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	118	IPR005535	26..56
A0A7G5F391	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	100	IPR005535	9..38
A0A7G5F392	unreviewed	Cyclotide	43366	Clitoria ternatea	69	IPR005535	29..57
A0A7G5F393	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	125	IPR005535	31..60
A0A7G5F395	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	88	IPR005535	7..35
A0A7G5F396	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	131	IPR005535	29..57
A0A7G5F397	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	137	IPR005535	35..63
A0A7G5F398	unreviewed	Cyclotide	43366	Clitoria ternatea	70	IPR005535	29..58
A0A7G5F399	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	74	IPR005535	5..35
A0A7G5F3A1	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	64	IPR005535	1..28
A0A7G5F3A2	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	83	IPR005535	1..28
A0A7G5F3A3	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	106	IPR005535	29..58
A0A7G5F3A4	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	91	IPR005535	1..24
A0A7G5F3A8	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	148	IPR005535	53..81
A0A7G5F3A9	unreviewed	Cyclotide	43366	Clitoria ternatea	81	IPR005535	41..71
A0A7G5F3B0	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	99	IPR005535	3..32
A0A7G5F3B1	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	89	IPR005535	1..25
A0A7G5F3B2	unreviewed	Cyclotide	43366	Clitoria ternatea	68	IPR005535	30..59
A0A7G5F3B3	unreviewed	Cyclotide	43366	Clitoria ternatea	51	IPR005535	27..51
A0A7G5F3B5	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	105	IPR005535	33..62
A0A7G5F3B6	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	131	IPR005535	29..58
A0A7G5F3B8	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	101	IPR005535	29..58
A0A7G5F3B9	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	118	IPR005535	25..53
A0A7G5F3C0	unreviewed	Cyclotide	43366	Clitoria ternatea	64	IPR005535	29..59
A0A7G5F3C1	unreviewed	Cyclotide	43366	Clitoria ternatea	87	IPR005535	55..84
A0A7G5F3C2	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	120	IPR005535	59..87
A0A7G5F3C3	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	108	IPR005535	25..54
A0A7G5F3C4	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	99	IPR005535	5..34
A0A7G5F3C5	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	99	IPR005535	5..34
A0A7G5F3C6	unreviewed	Cyclotide	43366	Clitoria ternatea	60	IPR005535	26..56
A0A7G5F3C7	unreviewed	Cyclotide	43366	Clitoria ternatea	84	IPR005535	26..55
A0A7G5F3C8	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	127	IPR005535	23..53
A0A7G5F3C9	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	128	IPR005535	26..55
A0A7G5F3D0	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	126	IPR005535	23..53
A0A7G5F3D1	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	130	IPR005535	26..56
A0A7G5F3D2	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	130	IPR005535	26..56
A0A7G5F3D3	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	122	IPR005535	26..55
A0A7G5F3D4	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	129	IPR005535	27..55
A0A7G5F3D5	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	158	IPR005535	56..85
A0A7G5F3D6	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	90	IPR005535	25..56
A0A7G5F3D7	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	117	IPR005535	26..56
A0A7G5F3D8	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	96	IPR005535	29..59
A0A7G5F3D9	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	125	IPR005535	30..60
A0A7G5F3E0	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	125	IPR005535	30..60
A0A7G5F3E4	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	136	IPR005535	43..71
A0A7G5F3E5	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	120	IPR005535	28..54
A0A7G5F3E7	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	119	IPR005535	26..55
A0A7G5F3E8	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	70	IPR005535	7..36
A0A7G5F3E9	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	107	IPR005535	30..60
A0A7G5F3F0	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	88	IPR005535	10..40
A0A7G5F3F1	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	88	IPR005535	11..41
A0A7G5F3F2	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	108	IPR005535	30..60
A0A7G5F3F3	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	85	IPR005535	11..41
A0A7G5F3F4	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	104	IPR005535	30..60
A0A7G5F3F5	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	113	IPR005535	51..80
A0A7G5F3F6	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	117	IPR005535	23..52
A0A7G5F3F8	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	145	IPR005535	51..80
A0A7G5F3F9	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	134	IPR005535	41..71
A0A804N5S8	unreviewed	Uncharacterized protein	4577	Zea mays	83	IPR005535	54..83
A0A8I3AZW0	unreviewed	Acyclotide ribe 31	85259	Rinorea bengalensis	29	IPR005535	1..29
A0A8K0HN61	unreviewed	Uncharacterized protein	2594499	Rhamnella rubrinervis	87	IPR005535	61..87
A0A8K0HPH9	unreviewed	Uncharacterized protein	2594499	Rhamnella rubrinervis	87	IPR005535	61..87
A0A8K0HPI6	unreviewed	Uncharacterized protein	2594499	Rhamnella rubrinervis	297	IPR005535	62..84
A0A8K0HQ11	unreviewed	Uncharacterized protein	2594499	Rhamnella rubrinervis	109	IPR005535	62..74
A0A8K0HQN9	unreviewed	Uncharacterized protein	2594499	Rhamnella rubrinervis	110	IPR005535	62..82
A0A8K0HR05	unreviewed	Uncharacterized protein	2594499	Rhamnella rubrinervis	81	IPR005535	55..81
A0A8K0HT72	unreviewed	Uncharacterized protein	2594499	Rhamnella rubrinervis	87	IPR005535	61..87
A0A8K0HTN1	unreviewed	Uncharacterized protein	2594499	Rhamnella rubrinervis	87	IPR005535	61..87
A0A8K0MR09	unreviewed	Uncharacterized protein	2594499	Rhamnella rubrinervis	87	IPR005535	61..87
A0A8K0MR77	unreviewed	Uncharacterized protein	2594499	Rhamnella rubrinervis	87	IPR005535	61..87
A0A8K0MRR5	unreviewed	Uncharacterized protein	2594499	Rhamnella rubrinervis	87	IPR005535	61..87
A0A8K0MS69	unreviewed	Uncharacterized protein	2594499	Rhamnella rubrinervis	87	IPR005535	61..87
A0ABC8VJ15	unreviewed	Uncharacterized protein	240449	Urochloa decumbens	83	IPR005535	55..83
A0ABC8WBM9	unreviewed	Uncharacterized protein	240449	Urochloa decumbens	84	IPR005535	56..84
A0ABC9GFQ4	unreviewed	Uncharacterized protein	240449	Urochloa decumbens	83	IPR005535	55..83
A5YRZ3	unreviewed	Cyclotide 6	349688	Viola baoshanensis	153	IPR005535	67..95,121..149
A5YRZ4	unreviewed	Cyclotide 7	349688	Viola baoshanensis	207	IPR005535	67..95,121..149,175..203
A9P3Q6	unreviewed	Cyclotide protein Mra20	316498	Melicytus ramiflorus	94	IPR005535	59..89
A9P3Q7	unreviewed	Cyclotide protein Mra21	316498	Melicytus ramiflorus	92	IPR005535	57..87
A9P3Q8	unreviewed	Cyclotide protein Mra14	316498	Melicytus ramiflorus	179	IPR005535	60..90,144..174
A9P3Q9	unreviewed	Cyclotide protein Mra16	316498	Melicytus ramiflorus	144	IPR005535	60..90
A9P3R0	unreviewed	Cyclotide protein Mra17	316498	Melicytus ramiflorus	144	IPR005535	60..90
A9P3R1	unreviewed	Cyclotide protein Mra19	316498	Melicytus ramiflorus	178	IPR005535	60..90,144..173
A9P3R2	unreviewed	Cyclotide protein Mra18	316498	Melicytus ramiflorus	178	IPR005535	60..90,144..173
A9P3R3	unreviewed	Cyclotide protein Mra25	316498	Melicytus ramiflorus	94	IPR005535	61..90
A9P3R4	unreviewed	Cyclotide protein Mra24	316498	Melicytus ramiflorus	93	IPR005535	61..89
A9P3R5	unreviewed	Cyclotide protein Mra22	316498	Melicytus ramiflorus	98	IPR005535	64..93
A9P3R6	unreviewed	Cyclotide protein Mra23	316498	Melicytus ramiflorus	95	IPR005535	61..91
A9P3R7	unreviewed	Cyclotide protein Mra26	316498	Melicytus ramiflorus	93	IPR005535	61..89
A9P3R8	unreviewed	Cyclotide protein Mra28	316498	Melicytus ramiflorus	178	IPR005535	60..90,144..173
A9P3R9	unreviewed	Cyclotide protein Mra29	316498	Melicytus ramiflorus	178	IPR005535	60..90,144..173
A9P3S0	unreviewed	Cyclotide protein Mra30	316498	Melicytus ramiflorus	178	IPR005535	60..90,144..173
A9P3S1	reviewed	Cyclotides mra4/mra5	316498	Melicytus ramiflorus	198	IPR005535	80..110,164..193
A9P3S2	unreviewed	Cyclotide protein Mra13	316498	Melicytus ramiflorus	100	IPR005535	72..100
B1NRQ8	reviewed	Cyclotide vibi-E	214529	Viola biflora	105	IPR005535	70..100
B1NRQ9	reviewed	Cyclotide vibi-I	214529	Viola biflora	103	IPR005535	70..99
B1NRR0	reviewed	Cyclotide vibi-J	214529	Viola biflora	105	IPR005535	72..102
B1NRR1	reviewed	Cyclotide vibi-K	214529	Viola biflora	103	IPR005535	70..99
B1NRR2	reviewed	Cycloviolacin-O9	214529	Viola biflora	103	IPR005535	70..99
B1NRR3	reviewed	Cyclotide vitri-A	214529	Viola biflora	103	IPR005535	70..99
B3EWF1	reviewed	Parigidin-br1	96266	Palicourea rigida	32	IPR005535	3..32
B3EWH5	reviewed	Cyclotide phyb-A	4102	Petunia hybrida	79	IPR005535	39..73
B3EWH6	reviewed	Acyclotide phyb-K	4102	Petunia hybrida	74	IPR005535	45..73
B3EWH7	reviewed	Acyclotide phyb-M	4102	Petunia hybrida	32	IPR005535	2..29
B5B3X7	unreviewed	Cyclotide 1a	349688	Viola baoshanensis	113	IPR005535	80..109
B5B3X9	unreviewed	Cyclotide 1c	349688	Viola baoshanensis	113	IPR005535	80..109
B5B3Y0	unreviewed	Cyclotide 2a	349688	Viola baoshanensis	113	IPR005535	80..109
B5B3Y2	unreviewed	Cyclotide 2c	349688	Viola baoshanensis	113	IPR005535	80..109
B5B3Y3	unreviewed	Cyclotide 2d	349688	Viola baoshanensis	113	IPR005535	80..109
B5B3Y4	unreviewed	Cyclotide 2e	349688	Viola baoshanensis	114	IPR005535	80..110
B5B3Y5	unreviewed	Cyclotide 3a	349688	Viola baoshanensis	111	IPR005535	81..107
B5B3Y6	unreviewed	Cyclotide 3b	349688	Viola baoshanensis	116	IPR005535	83..112
B5B3Y8	unreviewed	Cyclotide 3d	349688	Viola baoshanensis	115	IPR005535	82..111
B5B3Z0	unreviewed	Cyclotide 4b	349688	Viola baoshanensis	120	IPR005535	85..115
B5B3Z1	unreviewed	Cyclotide 4c	349688	Viola baoshanensis	120	IPR005535	85..115
B5B3Z3	unreviewed	Cyclotide 6b	349688	Viola baoshanensis	153	IPR005535	67..95,121..149
B5B3Z4	unreviewed	Cyclotide 6c	349688	Viola baoshanensis	153	IPR005535	67..95,121..149
B5B3Z5	unreviewed	Cyclotide 6d	349688	Viola baoshanensis	153	IPR005535	67..95,121..149
B5B3Z6	unreviewed	Cyclotide 7b	349688	Viola baoshanensis	207	IPR005535	67..95,121..149,175..203
B5B3Z7	unreviewed	Cyclotide 7c	349688	Viola baoshanensis	207	IPR005535	67..95,121..149,175..203
B6E615	unreviewed	Cycloviolacin O8	97441	Viola odorata	207	IPR005535	67..95,121..149,175..203
B6E616	unreviewed	Cyclotide protein Mra13	316498	Melicytus ramiflorus	99	IPR005535	72..99
B6E617	unreviewed	Tricyclon A protein	214053	Viola tricolor	288	IPR005535	64..90,160..186,256..282
B6E618	unreviewed	Kalata B1 protein	60225	Oldenlandia affinis	121	IPR005535	89..117
B6E619	unreviewed	Kalata B7 protein	60225	Oldenlandia affinis	107	IPR005535	76..104
B6E620	unreviewed	Kalata B6 and kalata B3 protein	60225	Oldenlandia affinis	155	IPR005535	67..96,122..151
B6E621	unreviewed	Kalata B2 protein	60225	Oldenlandia affinis	210	IPR005535	67..95,121..149,175..203
B6SPP3	unreviewed	Uncharacterized protein	4577	Zea mays	83	IPR005535	50..83
B6TZ23	unreviewed	Uncharacterized protein	4577	Zea mays	100	IPR005535	34..64
B6U6T7	unreviewed	Uncharacterized protein	4577	Zea mays	83	IPR005535	49..83
C0HJS0	reviewed	Cliotide T13	43366	Clitoria ternatea	31	IPR005535	2..31
C0HJS1	reviewed	Cliotide T14	43366	Clitoria ternatea	31	IPR005535	2..31
C0HJS2	reviewed	Cliotide T15	43366	Clitoria ternatea	29	IPR005535	1..29
C0HJS3	reviewed	Cliotide T16	43366	Clitoria ternatea	30	IPR005535	1..30
C0HJS5	reviewed	Cliotide T18	43366	Clitoria ternatea	29	IPR005535	1..29
C0HJS6	reviewed	Cliotide T19	43366	Clitoria ternatea	30	IPR005535	1..30
C0HJS7	reviewed	Cliotide T20	43366	Clitoria ternatea	30	IPR005535	1..30
C0HJS8	reviewed	Cliotide T21	43366	Clitoria ternatea	28	IPR005535	2..28
C0HK28	reviewed	Cyclotide mela-1	212268	Melicytus latifolius	29	IPR005535	1..29
C0HK29	reviewed	Cyclotide mela-2	212268	Melicytus latifolius	29	IPR005535	1..29
C0HK30	reviewed	Cyclotide mela-3	212268	Melicytus latifolius	29	IPR005535	1..29
C0HK31	reviewed	Cyclotide mela-4	212268	Melicytus latifolius	29	IPR005535	1..29
C0HK32	reviewed	Cyclotide mela-5	212268	Melicytus latifolius	30	IPR005535	1..30
C0HK33	reviewed	Cyclotide mela-6	212268	Melicytus latifolius	29	IPR005535	1..29
C0HK34	reviewed	Cyclotide mela-7	212268	Melicytus latifolius	29	IPR005535	1..29
C0HK35	reviewed	Cyclotide mech-1	453349	Melicytus chathamicus	30	IPR005535	1..30
C0HK36	reviewed	Cyclotide mech-2	453349	Melicytus chathamicus	29	IPR005535	1..29
C0HK37	reviewed	Cyclotide mech-3	453349	Melicytus chathamicus	29	IPR005535	1..29
C0HK38	reviewed	Cyclotide mech-4	453349	Melicytus chathamicus	31	IPR005535	1..31
C0HK39	reviewed	Cyclotide mech-5	453349	Melicytus chathamicus	31	IPR005535	1..31
C0HK40	reviewed	Cyclotide mech-6	453349	Melicytus chathamicus	31	IPR005535	1..31
C0HK41	reviewed	Cyclotide mech-7	453349	Melicytus chathamicus	29	IPR005535	1..29
C0HKF9	reviewed	Cliotide T6	43366	Clitoria ternatea	30	IPR005535	1..30
C0HKG0	reviewed	Cliotide T9	43366	Clitoria ternatea	117	IPR005535	26..55
C0HKG1	reviewed	Cliotide T3	43366	Clitoria ternatea	127	IPR005535	25..53
C0HKG2	reviewed	Cliotide T10	43366	Clitoria ternatea	31	IPR005535	1..31
C0HKG3	reviewed	Cliotide T11	43366	Clitoria ternatea	31	IPR005535	1..31
C0HKH0	reviewed	Chassatide C9	510798	Chassalia chartacea	30	IPR005535	1..30
C0HKH1	reviewed	Chassatide C6	510798	Chassalia chartacea	31	IPR005535	1..31
C0HKH2	reviewed	Chassatide C5	510798	Chassalia chartacea	31	IPR005535	1..31
C0HKH3	reviewed	Chassatide C3	510798	Chassalia chartacea	30	IPR005535	1..30
C0HKH4	reviewed	Chassatide C1	510798	Chassalia chartacea	29	IPR005535	3..29
C0HKH5	reviewed	Chassatide C12	510798	Chassalia chartacea	28	IPR005535	3..25
C0HKH6	reviewed	Chassatide C11	510798	Chassalia chartacea	28	IPR005535	1..28
C0HKH7	reviewed	Chassatide C10	510798	Chassalia chartacea	29	IPR005535	4..26
C0HKH8	reviewed	Circulin A	510798	Chassalia chartacea	30	IPR005535	1..30
C0HKI2	reviewed	Cyclotide ltri-A	1977830	Leonia triandra	28	IPR005535	1..28
C0HKI3	reviewed	Cyclotide mang-A	491104	Melicytus angustifolius	29	IPR005535	1..29
C0HKI4	reviewed	Cyclotide mden-A	491106	Melicytus dentatus	29	IPR005535	1..29
C0HKI5	reviewed	Cyclotide mden-B	491106	Melicytus dentatus	29	IPR005535	1..29
C0HKI6	reviewed	Cyclotide mden-C	491106	Melicytus dentatus	29	IPR005535	1..29
C0HKI7	reviewed	Cyclotide mden-E	491106	Melicytus dentatus	30	IPR005535	1..30
C0HKI8	reviewed	Cyclotide mden-F	491106	Melicytus dentatus	29	IPR005535	1..29
C0HKI9	reviewed	Cyclotide mden-G	491106	Melicytus dentatus	30	IPR005535	1..30
